Título;Fecha;Comentario
The Gift;2015;y ha estado bien. Al principio bastante previsible pero luego mejora. Se deja ver.
El impostor;2012;Chulísima, me ha gustado mucho. Muy buen ritmo, mantiene la atención todo el rato, está genial. Filmin.
Eighth grade;2018;Maravillosa porque en esta casa es devoción lo que tenemos por Bo Burnham. Lástima que solo se pueda ver en Estados Unidos.
La niebla;2007;Se deja ver. Hay interpretaciones y diálogos un poco flojillos. Pero al final coge buen paso y se ve. Pero vamos, sin más.
Cerdita;2022;Pues muy bien, camina para adelante, buenas interpretaciones, buena imagen, arranca mejor que termina pero no desmerece. Está chula. Es un buen trabajo.
Nuestro padre;2022;Documental sobre un médico negligente que insemina a más de 100 pacientes con su propio semen en lugar del del padre o donante. Interesante y se deja ver pero perdura más la historia en sí que el hecho fílmico.
Oh boy;2012;Se deja ver pero no me dice nada, la verdad. Rollito nouvelle vague y Woody Allen pero con Berlín de fondo. Al menos no es soporífera.
Locke;2013;Tom Hardy está espectacular, la peli tiene buen ritmo y camina para adelante sin que te des cuenta. Lo único es que quizá genera una expectación que es incapaz de colmar, no por ineficaz sino por su naturaleza dramática.
Some kind of monster;2004;Resulta decepcionante a la par que interesante descubrir que Metallica tiene el proceso creativo de niños de 8 años haciendo un mural para clase de plástica, entre tantas otras movidas. El docu se deja ver muy bien, como todo Berlinger y Sinofsky.
Oswald. El falsificador;2022;Es genial. Sales pensando que Oswald es un tío de puta madre en verdad. Elio es un perfil que podría haberse dedicado a otra cosa pero tanto Oswaldo como Michael son peña que no podrían haber hecho otra cosa en su vida. Libre albedrío, mis cojones.
As bestas;2022;Id a verla. Está guapísima. Una pasada. Y lo de Luis Zahera no es ni medio normal. Qué tiburón de la interpretación. Una maravilla todo.
La llegada;2016;Muy chula. A partir de una idea sin evidencia (la hipótesis Sapir-Whorf) se desarrolla una ciencia-ficción que se mantiene muy bien. Y en definitiva, lo importante es el mensaje final: vive desde ya mismo la vida que más se acerque a la vida que quieres vivir.
Cinco lobitos;2022;"A veces uno es feliz y no lo sabe." Una película sublime.
Los renglones torcidos de Dios;2022;Está chula, camina para adelante y cumple su propósito. Pero sin más. Ninguna obra maestra.
El agua;2022;Soberano coñazo con un sonido espantoso que no sé si es cosa de la peli o de Filmin pero vaya tela. Rollo no ficción lentísimo repleto de secuencias de estas que dan la impresión de ser prescindibles. Pretendidamente sesuda pero con la profundidad de un charco.
The Innocents;2021;Espeluznante. Está guapísima. Es increíble cómo pueden trabajar tan bien los nanos. Me ha encantado.
Sound city;2013;No la había visto aún. Yo solo espero que antes de que apiche, Dave Grohl le done la puta consola esa a quien se la tenga que donar allí en Estados Unidos. Explica genial el fenómeno, muy chula. Además de que es un cónclave de fueras de serie todo el rato.
Whitney;2018;El discurso fluye y me ha gustado que aunque está más centrado en la figura de ella, sí hay unas secuencias-collage con imágenes del contexto histórico que al menos señalan que toda música emerge en un momento dado. Por lo demás, qué pena y qué tróspido todo.
The lobster;2015;El rollo alegórico e inverosímil está muy guay, ese exceso constante en todo. Además, fluye y camina sin que te des cuenta y si eso pasa es que funciona. Ahora bien, no me ha gustado nada el final. ¿Qué cojones se supone que sucede?
Barbarian;2022;Pues quitando algún cabo que queda por atar y alguna que otra inverosimilitud, me ha gustado mucho. Camina adelante, buenos giros, buen ritmo y, sobre todo, un final decente que no la caga y que cierra bien. He pasado un buen rato.
El juicio de los siete de Chicago;2020;Está guapísima. Sobre el juicio a siete protestantes inocentes en las revueltas de Chicago del 69. Cuando una peli consigue no hacerte pensar en otra cosa... Bingo.
Upon Entry;2023;Acabo de caer en que esta se me pasó ponerla y me flipó muchísimo. Ideal para ir acompañado y luego comentarla. Me voló la mente. Es un peliculón.
Lamb;2021;No sucede gran cosa pero mola. Es flipante que los animales son tan personajes o más que los personajes humanos. Tiene momentos brillantes a nivel visual, si bien falta drama y desmerece el elemento "muleta" del personaje del hermano.
El monstruo de St. Pauli;2019;Historia de asesino en serie. Es realmente asquerosa. Creo que la he mirado todo el rato con cara de estar comiendo limones. Es de esas pelis que consiguen que huelas la escena. Vomitivamente recomendable.
Círculo;2015;El planteamiento pretende más de lo que luego ofrece. Muy normalita, floja por momentos. Lo de los aliens una fumada. Yo habría preferido ausencia de causa, un poco como en Cube.
Host;2020;Me ha encantado. Hacía mucho tiempo que no estaba tan cagada con una peli. ¡Qué agotamiento! Muy naturalista, parece una sesión de Zoom de verdad. El fondo, mil veces visto, pero la forma es lo que te conquista. Un 10.
El teléfono;2020;Pues muy entretenida y bastante bien atada, la verdad es que ha caminado para adelante hasta el girito de 180° que ocupa literalmente el último minuto de la peli... Como decimos en Valencia "però això era precís?" Yo digo no.
O corno;2023;Es hermosa, los planos nocturnos parecen cuadros barrocos; las mujeres son protagonistas y casi todo el elenco, pero no es suficiente. Lo tiene todo para brillar pero le falta trama, falta densidad, faltan diálogos. Es buena película pero con todo es una pena.
All the beauty and the bloodshed;2022;Me ha encantado. Sobre el activismo contra los opioides en EE. UU. liderado por Nan Goldin y al mismo tiempo una suerte de biografía de la artista e inevitable repaso de su obra. Enésima evidencia de la tremenda cloaca infecta q es EE. UU.
Hermana Muerte;2023;SPOILER. No camina para adelante, no acaba de arrancar, no coge ritmo hasta los últimos 20'. Bastante decalage ahí. Ahora, estéticamente, chulísima. Y una historia enteramente de mujeres siempre es bien.
El club del odio;2022;Funciona como thriller, camina para adelante y genera tensión pero le falta verosimilitud, más fondo, más motivación en los personajes, más conexiones, y sobra algún que otro deus ex machina que viene a suplir esas faltas.
Pretend it's a city;2021;He visto el primer capítulo y está chula. Me he reído bastante. Un ensayo sobre Nueva York a través de Fran Lebowitz, que es fabulosa e insoportable a partes iguales. Ella es tal cual Larry David pero en mujer. Y en versión costa este, claro.
Enemy;2013;No sé si merece la puntuación que tiene en Filmaffinity. Gyllenhaal está divino y lo hace genial pero vamos, como drama y thriller... sin más. La cosa tiene menos profundidad de lo que aparenta.
Everest;2015;Creíamos que no la habíamos visto pero a medida que avanzaba nos sonaba un montón y va a ser que sí, aunque tampoco tenemos grandes recuerdos Sin más, pero la verdad es que resulta entretenida y camina para adelante.
Anatomía de una caída;2023;La está petando y no es para menos. Una obra maestra. Funciona, camina, toca mil temas, estimulante a más no poder, las interpretaciones son oro... Es en parte una peli sobre el Derecho y eso a quienes nos gusta nos conquista. Todo en ella es un 10.
La mirada del silencio;2014;Díptico con The act of killing (2012). Tiene algo de cine útil, el cine como un medio para otra cosa. Es tan inverosímil que tildarla de ejemplo de la realidad supera a la ficción se queda corto. Espeluznante, demoledora, intratable... Necesaria.
Cortar por la línea de puntos;2021;Serie de animación de seis capítulos de unos 20’ cada uno. Frenética, desbordante, tiernísima. Mola mucho y ya el último episodio está en Netflix. Muy bonita.
Canino;2009;Da menos de lo que dice dar, y a medida que avanza te percatas de que, en efecto, no te va a dar más. Otro ejemplo de que sugerencias, surrealismo, incógnitas e iconografía potente no son suficiente. Lo mejor, que hablan en griego y el griego siempre es y
20.000 especies de abejas;2023;Una maravilla pero los diálogos, especialmente los de los adultos, son flojos y eso la impide brillar con plena intensidad. Una lástima porque por lo demás lo tiene todo. Aún así, muy recomendable. Muy hermosa.
Perfect Days;2024;Esta se me olvidaba y es que se me hizo más larga que un día sin pan y me aburrí bastante. El trasfondo y el tema son maravillosos pero la forma no me cautivó.
A propósito de Llewyn Davis;2014;Muy floja. No sabemos nada de los personajes, no va a ningún lado, todo resulta gratuito. Un pretexto. No desgrana el contexto; va de música como podría ir de alfombras. Hay cosas chulas pero quedan aisladas. Insuficiente.
Que nadie duerma;2023;Pues bastante sin más. Le cuesta arrancar, luego coge algo de forma y acaba floja. No sé, es que este cine de "completa tú la aventura" a mí ya no me va. Hace años me iba, ahora me da toda la pereza. Las escenas en el taxi, lo mejor.
Fantastic machine;2023;Está guay aunque tampoco he flipado. Es un docu algo errático por descriptivo. Tiene a favor que no pretende llegar a ningún lugar y no juzga, cosa difícil en estos temas. Pero me da que arrancó mejor de lo que luego mantuvo. Filmin.
La Mesías;2023;Diría que queda algún cabo suelto pero con todo y con eso es soberbia. Atrapa desde el minuto uno y no quieres dejar de mirar. Todo el elenco está espectacular, todo súpercuidado... Una joyita.
Class Action Park;2020;Como docu es flojo y es que tiene un problema: todo sucede en la cloaca infecta que es Estados Unidos. Es terrible ver cómo esta gente tiene la cabeza lavada totalmente por la vertiente más cínica del neoliberalismo. Patético todo.
Side by side;2012;Sobre la llegada y transición al cine digital. Menos mal que al final meten una pincelada sobre la problemática de la preservación. Esta peli te recuerda si hay algo que de más pereza en este mundo que los nostálgicos del Cine. No lo creo.
Un gato callejero llamado Bob;2016;La peli que todo amante de los gatos debe ver. Como peli es normalita pero funciona genial y toda la carne está puesta en el gato, que es maravilloso. Muy bonita.
The Taking Of Deborah Logan;2014;Pues no es ninguna obra maestra pero tampoco se merece la puntuación tan baja que tiene en Filmaffinity. Más o menos se aguanta, camina para adelante y entretiene. Esperaba mucho menos.
Señores del caos;2018;La factura y la interpretación están genial pero tampoco tiene mucha chicha. Habría estado bien que hubiesen explorado más a Varg, sus motivaciones, etc. Pesa demasiado el enfoque desde Euronymous. Con todo, camina y se deja ver.
Whiplash;2014;Me ha encantado. Es una cosa tristísima pero tiene un final con un buen revés. Te tiene atrapada todo el rato. No sé si al personaje de Fletcher le falta un pelín más de profundidad... Sea como sea, está guapísima.
Fire of love;2022;El material y la historia es muy poderosa y el docu se hace solo pero me da la sensación de que realmente poco o nada se sabe de la vida personal de ambos como pareja y eso se nota. Lo visual es de diez pero el storytelling... Algo flojo.
